Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",4-Dec-14,PO511365-V2,148721.76,4445
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,DC HOUSING AUTHORITY,13-Feb-15,PO515705,1228242.42,4446
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),Breathe DC Inc.,15-Oct-14,PO507362,11000,4447
D.C. NATIONAL GUARD,"0506039:FRAMES, WALL CALENDAR, WOOD",LASER ART INC,11-Dec-14,PO512503,57.24,4448
D.C. NATIONAL GUARD,6524274:HAIR SHAMPOO/SOAP/BODY WASH,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,20-Nov-14,PO510899,645,4449
DEPARTMENT OF BEHAVIORAL HEALTH,9482800:Dental Services,"Mirion Technologies GDS, Inc.",6-Oct-14,PO506199,3000,4450
DEPARTMENT OF CORRECTIONS,"4957300:Physiological Testing and Recording Equipment (Single and Multichannel), and Accessories: Electrodes, Monitors, Stimulators, etc.",Specialized Forensic Psycholog,23-Oct-14,PO508223,6000,4451
DEPARTMENT ON DISABILITY SERVICES,9523900:Employment Generating Activities,CREATIVE OPTIONS & EMPLOYMENT,7-Oct-14,PO506362,1000,4452
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",Supreme Healthcare Services LL,22-Dec-14,PO509605-V2,97519.7,4453
DEPARTMENT ON DISABILITY SERVICES,9625800:Professional Services (Not Otherwise Classified),"JKB, LLC",26-Jan-15,PO514608,5000,4454
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road","DANIEL CONSULTANTS, INC",12-Nov-14,PO510056,49650.35,4455
DEPARTMENT OF TRANSPORTATION,"SUPPORT SERVICES, MICROCOMPUTER SOFTWARE","OST, Inc.",16-Jan-15,PO509264-V4,8043.2,4456
STATE SUPERINTENDENT OF EDUCATION (OSSE),9183800:Education and Training Consulting,"Incapsulate, LLC",1-Oct-14,PO505825,255500,4457
STATE SUPERINTENDENT OF EDUCATION (OSSE),9616800:Sports Professionals Services (Including Sports and Recreational Programs and Referee/Umpire Services),DISTRICT OF COLUMBIA APPROVED,4-Mar-15,PO516444,1000,4458
OFFICE OF UNIFIED COMMUNICATIONS,"5456336:ROUTERS, ELECTRIC",AT&T,21-Oct-14,PO507830,197210,4459
DC PUBLIC LIBRARY,"2001075:SHIRTS, ATHLETIC, TANK TOP, 100% COTTON, 5.6 OZ., SHOULDER STRAPS",MORGANS INC,12-Jan-15,PO513960,8813.05,4460
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,63.96,4461
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"CREST OPTICIANS, INC.",12-Nov-14,PO510041,1645,4462
DEPARTMENT OF CORRECTIONS,9589600:Waste Management Services,ENVIRONMENTAL WASTE SPECIALITS,14-Nov-14,PO510345,5000,4463
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,2.38,4464
DEPARTMENT OF CORRECTIONS,"6801229:CASES, HANDCUFF, ACCOMODATES REGULAR, SECURITY AND HINGED HANDCUFFS",THE HAMILTON GROUP,2-Mar-15,PO516288,4300,4465
DEPARTMENT ON DISABILITY SERVICES,9523900:Employment Generating Activities,"Pendergrast Alston Consulting Services, Inc",15-Oct-14,PO507343,300,4466
DEPARTMENT ON DISABILITY SERVICES,9625800:Professional Services (Not Otherwise Classified),"Relias Learning, LLC",5-Nov-14,PO509526,8243.18,4467
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","INTEGRATED COMMUNITY SERVICES,",4-Feb-15,PO505918-V3,63104.85,4468
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),STEPHEN EDWARD ABBOTT,23-Oct-14,PO508148,31434.2,4469
DEPARTMENT OF HEALTH,9183000:Computer Network Consulting,"OST, Inc.",9-Jan-15,PO511601-V2,57952,4470
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",M C DEAN INC,4-Mar-15,PO516432,112187.08,4471
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",WASHINGTON MENS CAMERATA INC,31-Oct-14,PO508986,15000,4472
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",METRO DC GLBT COMM CTR,4-Nov-14,PO509294,2250,4473
OFFICE OF ZONING,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",INFORMATION BUILDERS,23-Oct-14,PO506656-V2,5638.46,4474
FIRE AND EMERGENCY MEDICAL SERVICES,"0607455:PARTS AND ACCESSORIES, TRUCK (MISCELLANEOUS)",TONYS AUTO SERV./COMM SERV. OP,17-Oct-14,PO507566,50000,4475
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",BSN SPORTS,24-Dec-14,PO513354,75.98,4476
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4950700:Agricultural Science Equipment: Diffusive Resistance Meters, Leaf Porometers and Water Potential Measuring Equipment, Seed Counters and Germinators, Soil Sterilizers, etc.",CAROLINA BIOLOGICAL SUPPLY COM,9-Feb-15,PO515305,139.8,4477
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",AMERICAN READING COMPANY,3-Dec-14,PO511906,384,4478
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158600:Textbooks: 6th thru 8th Grade (Includes Student and Teacher Editions),"LAZEL, Inc dba Learning A-Z",18-Dec-14,PO513051,99.95,4479
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,2324500:Kits and Supplies: String and Wire Art,SCHOOL SPECIALTY,16-Jan-15,PO514302,16.95,4480
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008570:SHIRTS, FATIGUE, MENS AND WOMENS, POLY/COTTON, PER MICHIGAN STATE POLICE SPECS",MORGANS INC,13-Jan-15,PO513974,399.9,4481
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7853035:MARKERS, ERASABLE","SKY,LLC DBA/US-OFFICE SOLUTION",24-Nov-14,PO511176,264.3,4482
DEPARTMENT OF HUMAN SERVICES,9634800:Membership Dues,AMERICAN PUBLIC HUMAN,15-Dec-14,PO512447,1435,4483
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN","Curriculum Associates, LLC",28-Oct-14,PO508584,3519,4484
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",BATTLES TRANSPORTATION,28-Jan-15,PO514769,2170,4485
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),Formost Advanced Creations,13-Nov-14,PO510255,175,4486
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,22.95,4487
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LAKESHORE LEARNING MATERIALS,12-Nov-14,PO510076,37.99,4488
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,3-Feb-15,PO515037,34.78,4489
DEPARTMENT OF FORENSICS SCIENCES,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","Excalibur Legal Staffing, LLC",11-Dec-14,PO511097-V2,20000,4490
METROPOLITAN POLICE DEPARTMENT,9613065:EMPLOYMENT AGENCY SERVICES. THE CONTRACTOR SHALL PROVIDE THE SERVICES OF THE TEMPORARY PERSONNEL AS SPECIFIED BY THE STATE.,Howard University the Learning Academy,27-Jan-15,PO514680,99000,4491
OFFICE ON AGING,"6003825:COPIERS, BOND (PLAIN) PAPER TYPE, NEW",XEROX CORPORATION,24-Dec-14,PO513400,2670,4492
DEPARTMENT OF GENERAL SERVICES,"9138900:Maintenance and Repair, Utility/Underground Projects","SPECTRUM MANAGEMENT, LLC",8-Oct-14,PO506699,243500,4493
OFFICE OF THE CHIEF FINANCIAL OFFICER,9622400:Courier/Delivery Services (Including Air Courier Services),MIGUEL D. TARVER DBA/MDT RUSH,24-Oct-14,PO486976-V5,8780,4494
OFFICE OF THE CHIEF FINANCIAL OFFICER,"2083750:SOFTWARE, RELATIONAL DESKTOP DATABASE MANAGEMENT SYSTEM SERVER",GROUP 1 SOFTWARE,22-Dec-14,PO513252,98623,4495
DEPARTMENT OF GENERAL SERVICES,"9393710:MAINTENANCE AND REPAIR, AUDIO/VIDEO EQUIPMENT",RCI SOUND SYSTEMS,1-Dec-14,PO511614,40000,4496
DEPARTMENT OF MOTOR VEHICLES,"2045457:MICROCOMPUTERS, NOTEBOOK",APPLE COMPUTER INC,25-Feb-15,PO515890-V2,1399.8,4497
DEPARTMENT OF PUBLIC WORKS,9102300:Firestop Systems (Includes Installation and Fireproofing),HAISLIP CORPORATION,30-Oct-14,PO508912,85462.5,4498
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",Babel Street Inc.,28-Nov-14,PO508510-V2,3600,4499
CHILD AND FAMILY SERVICES AGENCY,9186700:Human Services Consulting (To Include Mental Health Consulting Services),ADOPTIONS TOGETHER INC,31-Oct-14,PO509121,44033,4500
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"AL BETZ & ASSOCIATES,INC",2-Dec-14,PO511821,55.86,4501
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9183200:Consulting Services (Not Otherwise Classified),"The Pittman Group, Inc DBA VANTIX",20-Nov-14,PO506607-V3,0,4502
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",29-Dec-14,PO507183-V3,0,4503
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO506577-V2,94277.04,4504
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",Dell Computer Corp.,6-Oct-14,PO506276,767.88,4505
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",15-Dec-14,PO512713,9035.48,4506
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,11-Feb-15,PO514931-V2,1338,4507
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.","DEVRY UNIVERSITY, INC",12-Feb-15,PO515619,1725,4508
DEPARTMENT OF YOUTH REHABILITATION SVCS,7759500:Recycled Road Salt,IDEAL ELECTRIC SUPPLY,25-Nov-14,PO511345,19360,4509
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),ANGELS&ASSOCIATESINC,16-Dec-14,PO505724-V3,190000,4510
DEPARTMENT OF BEHAVIORAL HEALTH,9520600:Alcohol and Drug Prevention,Research Triangle Institute,12-Nov-14,PO509957,250604,4511
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"Public Consulting Group, Inc.",1-Oct-14,PO505916,31908,4512
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Ross Professional Services,2-Oct-14,PO506056,3000,4513
DEPARTMENT OF HEALTH,9613023:EMPLOYMENT AGENCY SERVICES FOR THE HIRING OF TEMPORARY PERSONNEL,MIDTOWN PERSONNEL INC,18-Dec-14,PO506325-V2,60000,4514
DEPARTMENT ON DISABILITY SERVICES,9526800:Personal Care Services,"PREMIER HEALTH SERVICES, INC.",9-Jan-15,PO507686-V2,10000,4515
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",AGAPE HEALTHCARE SERVICES INC.,2-Dec-14,PO511835,54949.3,4516
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6557154:PAPER FOR COLOR PRINT PROCESSING, FUJI OR EQUAL",MDM Office Systems DBA Standard Office Supply,13-Nov-14,PO510179,48.72,4517
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",DC CENTRAL KITCHEN,13-Jan-15,PO514064,2160,4518
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6202041:ERASERS, GENERAL USE FOR PENCIL AND INK","SKY,LLC DBA/US-OFFICE SOLUTION",12-Nov-14,PO510065,2174.25,4519
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School","Keller Transportation, Inc",19-Feb-15,PO515844,1275,4520
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",AMERICAN READING COMPANY,3-Dec-14,PO511906,384,4521
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,2-Dec-14,PO511721,1338,4522
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9674500:Janitorial Products Manufacturing Services,General Merchandise Supplies,27-Feb-15,PO514998-V2,0,4523
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),Woodwind & Brasswind Inc,13-Jan-15,PO513979,430,4524
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.88,4525
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)","MAKERBOT INDUSTRIES, LLC",10-Feb-15,PO515370,43.2,4526
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,21.43,4527
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",S&S WORLDWIDE INC.,15-Oct-14,PO507353,151.17,4528
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED",MDM Office Systems DBA Standard Office Supply,28-Oct-14,PO508639,229.95,4529
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",FOLLETT SCHOOL SOLUTIONS,17-Dec-14,PO512870,864,4530
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,35,4531
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"BELL ARCHITECTS, PC",11-Feb-15,PO515522,599703.1,4532
DEPARTMENT OF GENERAL SERVICES,9103957:JANITORIAL/CUSTODIAL SERVICES,G-Sida General Services,23-Feb-15,PO515951,81469.44,4533
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9081520:PERFECT BINDING PAMPHLETS, BOOKLETS, BOOKS, AND OTHER BOUND MATERIAL COMPOSED OF MULTIPLE PAGES; TO INCLUDE COLLATING AND TRIM; FORMING AND APPLYING THE COVER (COVER COUNTS AS ONE SIGNATURE)",BALMAR INCORPORATED,1-Oct-14,PO492373-V3,30000,4534
DEPARTMENT OF GENERAL SERVICES,"2008569:SHIRTS, UNIFORM, DRESS, 65% COTTON, 35% POLYESTER, LONG SLEEVES, ONE POCKET, W/AGENCY PATCH SEWN ON, PER STATE OF MICHIGAN SPECIFICATIONS",MORGANS INC,25-Nov-14,PO511327,83968,4535
OFFICE OF EMPLOYEE APPEALS,"7151037:BOOKS, LIBRARY",WEST PUBLISHING CORP,10-Dec-14,PO512418,3101.49,4536
OFFICE ON ASIAN/PACIFIC AFFAIRS,9625800:Professional Services (Not Otherwise Classified),ASIAN AMERICAN LEADERSHIP,9-Dec-14,PO512307,86250,4537
OFFICE ON AGING,9524000:Elderly Assistance Services,TERRIFIC INC.,9-Feb-15,PO508083-V3,44924,4538
DEPARTMENT OF FORENSICS SCIENCES,"2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",Dell Computer Corp.,28-Jan-15,PO514751,11867.55,4539
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,20-Oct-14,PO507655,26.4,4540
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,13-Feb-15,PO515669,400,4541
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"Planet Depos, LLC",3-Feb-15,PO515004,404.15,4542
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,24-Feb-15,PO516018,79.2,4543
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",8-Oct-14,PO506540,11706,4544
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",26-Nov-14,PO511413,36453.6,4545
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",Integrated Power Sources of VA,21-Jan-15,PO514393,40,4546
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"4456200:Scrapers, Chipping and Sealing",AdBox Promo Agency,12-Jan-15,PO513965,357,4547
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,THC Affordable Housing Inc,9-Feb-15,PO515316,841297,4548
OFFICE OF THE D.C. AUDITOR,"6156948:HANGERS, PAPER, CLIPS FOR HANGING PAPER UNDER CHALKBOARD MOLDINGS OR FRAMES",American Business Supplies LLC,11-Feb-15,PO515528,119.98,4549
DEPARTMENT OF BEHAVIORAL HEALTH,"9526227:CARE AND TREATMENT SERVICES PROVIDED IN A NON-RESIDENTIAL SETTING, INCL. DAY TREATMENT, RILS, SOCIALIZATION SKILLS, ETC.","Inner City Family Svcs, LLC",1-Oct-14,PO505561,42200,4550
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),HOLY COMFORTER ST-CYPRIAN,2-Oct-14,PO506035,300000,4551
DEPARTMENT OF BEHAVIORAL HEALTH,9634800:Membership Dues,DC HOSPITAL ASSOCIATION,3-Dec-14,PO511388-V2,0,4552
DEPARTMENT OF BEHAVIORAL HEALTH,9986700:Medical and Dental Equipment and Supplies,ABBOTT LABORATORIES INC,1-Oct-14,PO505357,28482.76,4553
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"LA CLINICA DEL PUEBLO, INC.",11-Dec-14,PO505425-V2,3540,4554
DEPARTMENT ON DISABILITY SERVICES,"9527700:Research and Evaluation, Human Services (Including Productivity Audits)",Elizabeth Anne Jones,24-Feb-15,PO516034,20000,4555
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",DOMINION VIRGINIA POWER,21-Jan-15,PO514415,4500,4556
DEPARTMENT OF TRANSPORTATION,"2000000:CLOTHING, ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER RELATED, WORK",MORGANS INC,7-Jan-15,PO511061-V2,40475.16,4557
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",MARU MONTERO DANCE COMPANY,31-Oct-14,PO509018,15000,4558
STATE SUPERINTENDENT OF EDUCATION (OSSE),9183800:Education and Training Consulting,US EDUCATION DELIVERY INST,21-Nov-14,PO511117,20000,4559
D.C. DEPARTMENT OF HUMAN RESOURCES,9186600:Human Resources Consulting,DELOITTE CONSULTING,9-Oct-14,PO498729,652635.22,4560
DC PUBLIC LIBRARY,9587700:Project Management Services,McKissack-Hill Partners for a,13-Feb-15,PO515679,36807,4561
DC PUBLIC LIBRARY,"9816600:Security and Access Systems (Airport, Library, Hospitals, etc.) Rental or Lease","KEYSTONE US MANAGEMENT, INC",26-Jan-15,PO514604,835.54,4562
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CHALK, CHARCOAL, PASTELS, PENCILS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,10-Dec-14,PO512406,87,4563
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,30.39,4564
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4950700:Agricultural Science Equipment: Diffusive Resistance Meters, Leaf Porometers and Water Potential Measuring Equipment, Seed Counters and Germinators, Soil Sterilizers, etc.",CAROLINA BIOLOGICAL SUPPLY COM,9-Feb-15,PO515305,34.1,4565
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6208116:PEN REFILLS, FOR BALL POINT PENS",AMERICAN EXPRESS COMPANY,11-Dec-14,PO512490,10000,4566
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6150537:ADHESIVE, GLUE, ALL PURPOSE, WHITE",SCHOOL SPECIALTY,6-Nov-14,PO509684,35.68,4567
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",COMMITTEE FOR CHILDREN,16-Jan-15,PO514251,33,4568
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3052858:PENS, PENCILS & DIVIDERS, BOW, COMBINATION","SKY,LLC DBA/US-OFFICE SOLUTION",4-Dec-14,PO511941,26.1,4569
DEPARTMENT OF BEHAVIORAL HEALTH,"9529400:Transportation Services For the Elderly, Handicapped, Incapacitated, Prisoners, Juries, etc.",LIFESTAR RESPONSE OF MD INC.,1-Oct-14,PO505683-V2,1000,4570
DEPARTMENT OF PARKS AND RECREATION,"5789500:Water, Potable (See 390-91 for Bottled Water)",NESTLE WATERS AMERICA INC.,29-Oct-14,PO508760,6000,4571
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),RAYMOND FINKLEMAN,5-Nov-14,PO509488,31680,4572
DEPARTMENT OF CORRECTIONS,"9855450:MAILING MACHINES, RENTAL OR LEASE",PITNEY BOWES,31-Oct-14,PO509114,464,4573
DEPARTMENT OF CORRECTIONS,"9187850:CONSULTING SERVICES, MEDICAL",Lynette Mundey MD,4-Feb-15,PO515092,10000,4574
DEPARTMENT ON DISABILITY SERVICES,9523900:Employment Generating Activities,T and R Staffing Hlth Care Inc,24-Feb-15,PO516058,10000,4575
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",CRYSTAL SPRINGS SCHOOL (IDDI),6-Nov-14,PO509606,500,4576
DEPARTMENT OF HEALTH,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",PROFESSIONAL MGMT CONSULTING,23-Jan-15,PO511269-V2,56762,4577
STATE SUPERINTENDENT OF EDUCATION (OSSE),"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","PARCHMENT, INC.",1-Oct-14,PO505828,108000,4578
STATE SUPERINTENDENT OF EDUCATION (OSSE),9150900:Audio/Video Production Services Complete,EVS COMMUNICATIONS,3-Nov-14,PO509191,6950,4579
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4853712:CLEANER, ALL PURPOSE, MICRO-ORGANISM, LIQUID CONCENTRATE, DEODORANT/DISINFECTANT, FUNGICIDE",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,28-Oct-14,PO508590,421.75,4580
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857660:PAPER, WRITING, NEWS PRINT, FOR USE WITH PENCILS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,21-Nov-14,PO511098,402.6,4581
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,0,4582
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",CAPITOL ENTERTAINMENT,11-Feb-15,PO512324-V2,1600,4583
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,GREAT AMERICAN CORP,23-Feb-15,PO506144-V2,180,4584
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.",OFFICE DEPOT,13-Jan-15,PO514028,2.7,4585
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),DIVERSIFIED EDUCATIONAL SYSTEM,24-Dec-14,PO513374,1189.38,4586
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),FLIK INTERNATIONAL,12-Dec-14,PO512644,18647.5,4587
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,MARGARET D ASHBROOK,5-Nov-14,PO509495,800,4588
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5054200:Dry Cleaning Supplies: Bone Scrapers, Spotting Brushes, Spotting Tools, etc.",AMERICAN EXPRESS COMPANY,2-Mar-15,PO516298,20572.65,4589
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8,4590
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507692,94.58,4591
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9317500:Skating Rink Equipment, Roller and Ice, Maintenance and Repair",Temple Hills Skate Palace,17-Nov-14,PO510498,450,4592
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,13.64,4593
