Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
"HARBOR PUB, INC.","HARBOR PUB, INC.",(808)941-0985,2540,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,,,2540,Open,137 New and Renewal 1,Category 1,01/24/2012 12:00:00 AM,2,6,10,2,12/09/2013 12:00:00 AM
"NEW LIN FONG, INC.","NEW LIN FONG, CO.",(808)538-6644,2545,"MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.315409513577436, -157.85852836859704)",MAUNAKEA STREET ,   ,HONOLULU,HAWAII,96817,"MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.315409513577436, -157.85852836859704)",MAUNAKEA STREET ,   ,HONOLULU,HAWAII,96817,,,2545,Open,137 New and Renewal 3,Category 3,12/05/2011 12:00:00 AM,1,7,3,49,12/09/2013 12:00:00 AM
DUC'S BISTRO,DUC NGUYEN,(808)224-6325,2546,"MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.315409513577436, -157.85852836859704)",MAUNAKEA STREET ,   ,HONOLULU,HAWAII,96817,"MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.315409513577436, -157.85852836859704)",MAUNAKEA STREET ,   ,HONOLULU,HAWAII,96817,,,2546,Open,137 New and Renewal 1,Category 1,11/25/2011 12:00:00 AM,1,7,4,17,12/09/2013 12:00:00 AM
PLAZA CLUBHOUSE,IMPERIAL CAFÉ,(808)591-1277,2554,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96813
(21.299794180619596, -157.85328553929313)",KAPIOLANI BOULEVARD ,C120,HONOLULU,HAWAII,96813,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96813
(21.299794180619596, -157.85328553929313)",KAPIOLANI BOULEVARD ,C120,HONOLULU,HAWAII,96813,,,2554,Open,137 New and Renewal 2,Category 2,01/10/2012 12:00:00 AM,2,1,49,27,12/09/2013 12:00:00 AM
SALVATION ARMY ADULT REHABILITATION CENTER,"THE SALVATION ARMY, A CALIFORNIA CORP.",(808)522-8400,2561,"SUMNER STREET
HONOLULU, HAWAII 96817
(21.317145205093965, -157.86836245498742)",SUMNER STREET ,   ,HONOLULU,HAWAII,96817,"SUMNER STREET
HONOLULU, HAWAII 96817
(21.317145205093965, -157.86836245498742)",SUMNER STREET ,   ,HONOLULU,HAWAII,96817,,,2561,Open,137 New and Renewal 1,Category 1,11/18/2011 12:00:00 AM,1,5,9,4,12/12/2013 12:00:00 AM
YOHEI SUSHI RESTAURANT,"TOKIHARU & KAZUTO, INC.",(808)841-3773,2564,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,101,HONOLULU,HAWAII,96817,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,101,HONOLULU,HAWAII,96817,,,2564,Open,137 New and Renewal 1,Category 1,12/30/2011 12:00:00 AM,1,5,20,3,12/18/2013 12:00:00 AM
HILTON HAWAIIAN VILLAGE TROPICS BAR & GRILL,"HILTON HAWAIIAN VILLAGE, LLC.",(808)949-4321,2565,"KALIA ROAD
HONOLULU, HAWAII 96815
(21.280943687655693, -157.83349984339839)",KALIA ROAD ,   ,HONOLULU,HAWAII,96815,"KALIA ROAD
HONOLULU, HAWAII 96815
(21.280943687655693, -157.83349984339839)",KALIA ROAD ,   ,HONOLULU,HAWAII,96815,"  CAROL MORISAKI, FINANCE DEPARTMENT",,2565,Open,137 New and Renewal 2,Category 2,12/09/2011 12:00:00 AM,2,6,8,34,12/18/2013 12:00:00 AM
DOLE HEAD START,HONOLULU COMMUNITY ACTION PROGRAM,(808)847-2400,2567,"MAGELLAN AVENUE
HONOLULU, HAWAII 96813
(21.312018067913293, -157.85210947922883)",MAGELLAN AVENUE ,   ,HONOLULU,HAWAII,96813,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,300,HONOLULU,HAWAII,96813," HCAP, INC.,   BRIAN V HUMBER",,2567,Open,137 New and Renewal 3,Category 3,12/09/2011 12:00:00 AM,2,1,38,7,12/18/2013 12:00:00 AM
PALOLO ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)733-4704,2569,"10TH AVENUE
HONOLULU, HAWAII 96816
(21.29173036454597, -157.79618736552595)",10TH AVENUE ,   ,HONOLULU,HAWAII,96816,"10TH AVENUE
HONOLULU, HAWAII 96816
(21.29173036454597, -157.79618736552595)",10TH AVENUE ,   ,HONOLULU,HAWAII,96816,,,2569,Open,137 New and Renewal 1,Category 1,01/12/2012 12:00:00 AM,3,4,2,2,12/19/2013 12:00:00 AM
LOCO MOCO DRIVE INN #1,"MILILANI REGAL INVESTMENT, INC.",(808)429-3810,2573,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,186,MILILANI,HAWAII,96789,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY,186,MILILANI,HAWAII,96789,,,2573,Open,137 New and Renewal 1,Category 1,12/16/2011 12:00:00 AM,9,5,1,81,12/19/2013 12:00:00 AM
LANAKILA CHURCH EKALESIA O KA EUANELIO O IESU KRISTO,LANAKILA CHURCH,(808)737-0993,2574,"MAUNALEI AVENUE
HONOLULU, HAWAII 96816
(21.289470472347, -157.7887676317496)",MAUNALEI AVENUE ,   ,HONOLULU,HAWAII,96816,"MAUNALEI AVENUE
HONOLULU, HAWAII 96816
(21.289470472347, -157.7887676317496)",MAUNALEI AVENUE ,   ,HONOLULU,HAWAII,96816,,,2574,Open,137 New and Renewal 3,Category 3,12/09/2011 12:00:00 AM,3,2,28,23,12/19/2013 12:00:00 AM
LOCO MOCO DRIVE INN EWA BEACH,"IMPERIAL INVESTMENT, INC.",(808)256-6667,2581,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,B102   ,EWA BEACH,HAWAII,96706,,,2581,Open,137 New and Renewal 1,Category 1,12/07/2011 12:00:00 AM,9,1,12,18,12/24/2013 12:00:00 AM
SUBWAY KAPOLEI,"WORLD SUBS, INC.",(808)587-7939,2582,"FARRINGTON HIGHWAY
KAPOLEI, HAWAII 96707
(21.346551140538818, -158.12445892344093)",FARRINGTON HIGHWAY ,   ,KAPOLEI,HAWAII,96707,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,B34,MILILANI,HAWAII,96789,,,2582,Open,137 New and Renewal 2,Category 2,01/03/2012 12:00:00 AM,9,1,16,21,12/24/2013 12:00:00 AM
KIM CHEE RESTAURANT #1,DEBBIE CHUN,(808)235-5560,2583,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,,,2583,Open,137 New and Renewal 1,Category 1,12/06/2011 12:00:00 AM,4,6,30,51,12/24/2013 12:00:00 AM
TACO BELL #4 KAILUA,"TACO ALOHA, INC.",(808)566-5247,2584,"ONEAWA STREET
KAILUA, HAWAII 96734
(21.405206818203027, -157.75041637084473)",ONEAWA STREET ,   ,KAILUA,HAWAII,96734,"FORT STREET MALL
HONOLULU, HAWAII 96813
(21.31198022982935, -157.85804219770066)",FORT STREET MALL,130,HONOLULU,HAWAII,96813,,,2584,Open,137 New and Renewal 1,Category 1,07/05/2011 12:00:00 AM,4,3,59,4,06/30/2013 12:00:00 AM
WAIPAHU DELI,"NAC, INC.",(808)680-9195,2588,"LEOLEO STREET
WAIPAHU, HAWAII 96797
(21.375536242074073, -158.01964886179493)",LEOLEO STREET ,   ,WAIPAHU,HAWAII,96797,"LEOLEO STREET
WAIPAHU, HAWAII 96797
(21.375536242074073, -158.01964886179493)",LEOLEO STREET ,   ,WAIPAHU,HAWAII,96797,,,2588,Open,137 New and Renewal 1,Category 1,01/06/2012 12:00:00 AM,9,4,48,76,12/23/2013 12:00:00 AM
TACO BELL #18 WAIPAHU,"TACO ALOHA, INC.",(808)566-5247,2590,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,STORE 31   ,WAIPAHU,HAWAII,96797,"FORT STREET MALL
HONOLULU, HAWAII 96813
(21.31198022982935, -157.85804219770066)",FORT STREET MALL,130,HONOLULU,HAWAII,96813,,,2590,Open,137 New and Renewal 2,Category 2,07/05/2011 12:00:00 AM,9,4,47,104,06/30/2013 12:00:00 AM
WAHIAWA RYUSENJI SOTO MISSION,WAHIAWA RYUSENJI SOTO MISSION,(808)622-1429,2591,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,"WAHIAWA, HAWAII 96786
(21.500729999789826, -158.03338000038656)",,   ,WAHIAWA,HAWAII,96786,,860838,2591,Open,137 New and Renewal 3,Category 3,12/05/2011 12:00:00 AM,7,3,14,38,12/23/2013 12:00:00 AM
ALA MOANA POI BOWL,"TNT FOODS, INC.",(808)949-8444,2603,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,1160E   ,HONOLULU,HAWAII,96814,  RUTH H. TENGAN,,2603,Open,137 New and Renewal 1,Category 1,12/09/2011 12:00:00 AM,2,3,38,1,12/26/2013 12:00:00 AM
"SHILLAWON KOREAN RESTAURANT, INC.","SHILLAWON KOREAN RESTAURANT, INC.",(808)218-1889,2606,"AMANA STREET
HONOLULU, HAWAII 96814
(21.293161801158792, -157.84066195712785)",AMANA STREET ,   ,HONOLULU,HAWAII,96814,"AMANA STREET
HONOLULU, HAWAII 96814
(21.293161801158792, -157.84066195712785)",AMANA STREET ,   ,HONOLULU,HAWAII,96814,,,2606,Open,137 New and Renewal 1,Category 1,12/21/2011 12:00:00 AM,2,3,21,5,12/26/2013 12:00:00 AM
YUMMY KOREAN B B Q,"PBHK, INC.",(808)941-4588,2607,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,1288,HONOLULU,HAWAII,96814,,,2607,Open,137 New and Renewal 2,Category 2,12/05/2011 12:00:00 AM,2,3,38,1,12/26/2013 12:00:00 AM
SUBWAY SANDWICH & SALAD,SANDRA BURGESS,(808)536-3957,2612,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96813,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96813,,,2612,Open,137 New and Renewal 2,Category 2,12/09/2011 12:00:00 AM,2,1,16,3,12/26/2013 12:00:00 AM
"BARNES & NOBLE BOOKSELLERS, INC.","BARNES & NOBLE, INC.",(516)338-7007,2618,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"OLD COUNTRY ROAD
WESTBURY, NEW YORK 11590
(40.74928642268503, -73.58082169104108)",OLD COUNTRY ROAD,   ,WESTBURY,NEW YORK,11590,"EXPENSE, STORE #2649",,2618,Open,137 New and Renewal 3,Category 3,12/16/2011 12:00:00 AM,3,5,16,1,12/26/2013 12:00:00 AM
CAFÉ HALEIWA,DUNCAN & JACQUELINE CAMPBELL,(808)637-5516,2620,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,,,2620,Open,137 New and Renewal 1,Category 1,12/30/2009 12:00:00 AM,6,2,6,12,"December 26"", ""2013"
KAEWAI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3347,2623,"KAMEHAMEHA IV ROAD
HONOLULU, HAWAII 96819
(21.347420735733298, -157.86616931934824)",KAMEHAMEHA IV ROAD,   ,HONOLULU,HAWAII,96819,"KAMEHAMEHA IV ROAD
HONOLULU, HAWAII 96819
(21.347420735733298, -157.86616931934824)",KAMEHAMEHA IV ROAD,   ,HONOLULU,HAWAII,96819,,,2623,Open,137 New and Renewal 3,Category 3,01/12/2012 12:00:00 AM,1,3,24,1,12/26/2013 12:00:00 AM
LIKELIKE ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3375,2624,"PALAMA STREET
HONOLULU, HAWAII 96817
(21.323467438959966, -157.86481462958184)",PALAMA STREET ,   ,HONOLULU,HAWAII,96817,"PALAMA STREET
HONOLULU, HAWAII 96817
(21.323467438959966, -157.86481462958184)",PALAMA STREET ,   ,HONOLULU,HAWAII,96817, CAFETERIA,,2624,Open,137 New and Renewal 1,Category 1,01/17/2012 12:00:00 AM,1,6,8,21,12/26/2013 12:00:00 AM
FARRINGTON HIGH SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3581,2625,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,  CAFETERIA,,2625,Open,137 New and Renewal 1,Category 1,01/12/2012 12:00:00 AM,1,6,21,5,12/26/2013 12:00:00 AM
WAIANAE COAST COMPREHENSIVE HEALTH CENTER,"WAIANAE DISTRICT COMPREHENSIVE HEALTH & HOSPITAL BOARD, INC.",(808)697-3457,2636,"FARRINGTON HIGHWAY
WAIANAE, HAWAII 96792
(21.550628469071547, -158.24337315456913)",FARRINGTON HIGHWAY ,   ,WAIANAE,HAWAII,96792,"FARRINGTON HIGHWAY
WAIANAE, HAWAII 96792
(21.550628469071547, -158.24337315456913)",FARRINGTON HIGHWAY ,   ,WAIANAE,HAWAII,96792,,,2636,Open,137 New and Renewal 3,Category 3,12/16/2011 12:00:00 AM,8,6,1,3,12/30/2013 12:00:00 AM
SHIRO'S SAIMIN HAVEN,"SHIRO & ASSOCIATES, INC.",(808)488-8824,2637,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,,,2637,Open,137 New and Renewal 2,Category 2,12/09/2011 12:00:00 AM,9,1,12,18,12/30/2013 12:00:00 AM
CREEKSIDE LOUNGE,"CREEKSIDE LOUNGE, INC.",(808)262-1810,2647,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,"KAILUA, HAWAII 96734
(21.397229999565013, -157.74126999971057)",,   ,KAILUA,HAWAII,96734,,1433,2647,Open,137 New and Renewal 3,Category 3,12/19/2011 12:00:00 AM,4,2,38,53,01/05/2014 12:00:00 AM
KINCAID'S,"RESTAURANTS UNLIMITED, INC.",(206)838-1422,2648,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96813
(21.30452322041276, -157.8628675973884)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96813,"FIRST AVENUE SOUTH
SEATTLE, WASHINGTON 98104
(47.60172977499968, -122.33408054244282)",FIRST AVENUE SOUTH,200,SEATTLE,WASHINGTON,98104, LICENSES,,2648,Open,137 New and Renewal 2,Category 2,01/17/2012 12:00:00 AM,2,3,1,5,01/05/2014 12:00:00 AM
PIZZA HUT #67 MOILIILI DELCO,"HAWAII PIZZA HUT, INC.",(808)566-5247,2651,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,"FORT STREET MALL
HONOLULU, HAWAII 96813
(21.31198022982935, -157.85804219770066)",FORT STREET MALL,130,HONOLULU,HAWAII,96813,JANIS LAWTON,,2651,Open,137 New and Renewal 2,Category 2,06/20/2011 12:00:00 AM,2,8,4,4,06/30/2013 12:00:00 AM
DOLE MIDDLE SCHOOL,DEPARTMENT OF EDUCATION,(808)832-2347,2653,"KAMEHAMEHA IV ROAD
HONOLULU, HAWAII 96819
(21.347420735733298, -157.86616931934824)",KAMEHAMEHA IV ROAD,   ,HONOLULU,HAWAII,96819,"KAMEHAMEHA IV ROAD
HONOLULU, HAWAII 96819
(21.347420735733298, -157.86616931934824)",KAMEHAMEHA IV ROAD,   ,HONOLULU,HAWAII,96819,,,2653,Open,137 New and Renewal 1,Category 1,01/31/2012 12:00:00 AM,1,3,24,4,01/09/2014 12:00:00 AM
KALIHI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3183,2654,"KULA KOLEA DRIVE
HONOLULU, HAWAII 96819
(21.35061797102452, -157.86190981942718)",KULA KOLEA DRIVE,   ,HONOLULU,HAWAII,96819,"KULA KOLEA DRIVE
HONOLULU, HAWAII 96819
(21.35061797102452, -157.86190981942718)",KULA KOLEA DRIVE,   ,HONOLULU,HAWAII,96819, CAFETERIA,,2654,Open,137 New and Renewal 1,Category 1,01/31/2012 12:00:00 AM,1,4,7,2,01/09/2014 12:00:00 AM
KAPALAMA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,,2657,"NORTH SCHOOL STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",NORTH SCHOOL STREET,   ,HONOLULU,HAWAII,96817,"NORTH SCHOOL STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",NORTH SCHOOL STREET,   ,HONOLULU,HAWAII,96817,,,2657,Open,137 New and Renewal 1,Category 1,02/07/2012 12:00:00 AM,1,6,26,22,01/29/2014 12:00:00 AM
NEW MUI KWAI CHOP SUEY II,WESLEY FANG & HING PAK TANG,(808)262-7800,2661,"ONEAWA STREET
KAILUA, HAWAII 96734
(21.405206818203027, -157.75041637084473)",ONEAWA STREET ,   ,KAILUA,HAWAII,96734,"ONEAWA STREET
KAILUA, HAWAII 96734
(21.405206818203027, -157.75041637084473)",ONEAWA STREET ,   ,KAILUA,HAWAII,96734,,,2661,Open,137 New and Renewal 1,Category 1,12/21/2011 12:00:00 AM,4,3,53,27,01/09/2014 12:00:00 AM
EWA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)687-3074,2662,"RENTON ROAD
EWA BEACH, HAWAII 96706
(21.347722154090178, -158.0270927931589)",RENTON ROAD ,   ,EWA BEACH,HAWAII,96706,"RENTON ROAD
EWA BEACH, HAWAII 96706
(21.347722154090178, -158.0270927931589)",RENTON ROAD ,   ,EWA BEACH,HAWAII,96706,,,2662,Open,137 New and Renewal 3,Category 3,01/30/2012 12:00:00 AM,9,1,17,2,01/09/2014 12:00:00 AM
CHOI'S KITCHEN,KANG HYOK CHOI,(808)923-5614,2669,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,E,HONOLULU,HAWAII,96815,"4TH AVENUE
HONOLULU, HAWAII 96816
(21.281026256012524, -157.8133253287941)",4TH AVENUE ,   ,HONOLULU,HAWAII,96816,,,2669,Open,137 New and Renewal 2,Category 2,01/09/2012 12:00:00 AM,2,6,22,38,01/12/2014 12:00:00 AM
JAM SUBWAY,JIM MCARTHUR & ANGUS MCKIBBIN,(808)832-9840,2680,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,   ,HONOLULU,HAWAII,96815,"HART STREET
HONOLULU, HAWAII 96817
(21.322073489814528, -157.87868217527364)",HART STREET ,BAY 14   ,HONOLULU,HAWAII,96817,,,2680,Open,137 New and Renewal 2,Category 2,01/09/2012 12:00:00 AM,2,6,21,23,01/12/2014 12:00:00 AM
DUKES WAIKIKI,DUKE'S WAIKIKI PARTNERSHIP,(808)922-2268,2690,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,,,2690,Open,137 New and Renewal 1,Category 1,01/03/2012 12:00:00 AM,2,6,2,17,01/12/2014 12:00:00 AM
CURRY HOUSE COCO ICHIBANYA,"COCO ICHI HAWAII, INC.",(808)949-4107,2693,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,   ,HONOLULU,HAWAII,96814,"UNIVERSITY AVENUE
HONOLULU, HAWAII 96826
(21.295021883173177, -157.82133690607532)",UNIVERSITY AVENUE ,   ,HONOLULU,HAWAII,96826,,,2693,Open,137 New and Renewal 2,Category 2,01/13/2012 12:00:00 AM,2,3,33,1,01/12/2014 12:00:00 AM
BUZZ'S ORIGINAL STEAK HOUSE,"BOSH, LTD.",(808)261-1738,2696,"KUAHAO PLACE
PEARL CITY, HAWAII 96782
(21.392347376642814, -157.95595555976792)",KUAHAO PLACE ,   ,PEARL CITY,HAWAII,96782,"KUAHAO PLACE
PEARL CITY, HAWAII 96782
(21.392347376642814, -157.95595555976792)",KUAHAO PLACE ,   ,PEARL CITY,HAWAII,96782,,,2696,Open,137 New and Renewal 1,Category 1,12/22/2011 12:00:00 AM,9,8,59,12,01/12/2014 12:00:00 AM
AZTECA RESTAURANT,"AZTECA RESTAURANT, INC.",(808)735-2492,2697,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,,,2697,Open,137 New and Renewal 1,Category 1,01/09/2012 12:00:00 AM,3,2,6,23,01/12/2014 12:00:00 AM
KALIHI WAENA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3215,2698,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,,,2698,Open,137 New and Renewal 1,Category 1,02/15/2012 12:00:00 AM,1,3,8,4,01/12/2014 12:00:00 AM
PUUHALE ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3196,2699,"PUUHALE ROAD
HONOLULU, HAWAII 96819
(21.326952311823504, -157.88549004303545)",PUUHALE ROAD ,   ,HONOLULU,HAWAII,96819,"PUUHALE ROAD
HONOLULU, HAWAII 96819
(21.326952311823504, -157.88549004303545)",PUUHALE ROAD ,   ,HONOLULU,HAWAII,96819,,,2699,Open,137 New and Renewal 1,Category 1,01/31/2012 12:00:00 AM,1,2,8,1,01/12/2014 12:00:00 AM
ST. CLEMENT'S SCHOOL,THE PARISH OF ST. CLEMENT,(808)955-7745,2701,"WILDER AVENUE
HONOLULU, HAWAII 96822
(21.297172809514134, -157.82499081492605)",WILDER AVENUE ,   ,HONOLULU,HAWAII,96822,"WILDER AVENUE
HONOLULU, HAWAII 96822
(21.297172809514134, -157.82499081492605)",WILDER AVENUE ,   ,HONOLULU,HAWAII,96822,,,2701,Open,137 New and Renewal 3,Category 3,12/21/2011 12:00:00 AM,2,4,9,1,01/12/2014 12:00:00 AM
UNIVERSITY AVENUE BAPTIST PRESCHOOL,UNIVERSITY AVENUE BAPTIST CHURCH,(808)947-6679,2702,"UNIVERSITY AVENUE
HONOLULU, HAWAII 96822
(21.301437762617827, -157.82092963874572)",UNIVERSITY AVENUE ,   ,HONOLULU,HAWAII,96822,"UNIVERSITY AVENUE
HONOLULU, HAWAII 96822
(21.301437762617827, -157.82092963874572)",UNIVERSITY AVENUE ,   ,HONOLULU,HAWAII,96822,,,2702,Open,137 New and Renewal 3,Category 3,01/30/2012 12:00:00 AM,2,9,3,25,01/12/2014 12:00:00 AM
NANIWA YA RAMEN,"NANIWA YA INVESTMENT, LTD.",(808)955-0066,2705,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,1160W   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,1160W   ,HONOLULU,HAWAII,96814,,,2705,Open,137 New and Renewal 2,Category 2,12/30/2011 12:00:00 AM,2,3,38,1,01/12/2014 12:00:00 AM
MCDONALD'S SCHOOL STREET,MCDONALD'S CORP.,(808)532-1590,2707,"NORTH SCHOOL STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",NORTH SCHOOL STREET,   ,HONOLULU,HAWAII,96817,"NORTH SCHOOL STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",NORTH SCHOOL STREET,   ,HONOLULU,HAWAII,96817,,,2707,Open,137 New and Renewal 2,Category 2,01/10/2012 12:00:00 AM,1,7,18,10,01/12/2014 12:00:00 AM
MCDONALD'S OF WAL MART/ROYAL KUNIA,"LDA, INC.",(808)676-7730,2710,"KUPUOHI STREET
WAIPAHU, HAWAII 96797
(21.391586987684793, -158.03344108219537)",KUPUOHI STREET ,   ,WAIPAHU,HAWAII,96797,"LEOLEO STREET
WAIPAHU, HAWAII 96797
(21.375536242074073, -158.01964886179493)",LEOLEO STREET ,16A,WAIPAHU,HAWAII,96797,,,2710,Open,137 New and Renewal 2,Category 2,01/03/2012 12:00:00 AM,9,4,2,17,01/12/2014 12:00:00 AM
